screen_name,statuses
bgdhall,"['@KenDilanianNBC @DafnaLinzer Nobody knew how hard it is to state facts. Believe me. Very difficult. 😡. Lewandowski… https://t.co/y78yeFUfwj', '@KenDilanianNBC @DafnaLinzer Oh brother. Trump followers will believe anything on faux news.', '@SarahHuckabee @realDonaldTrump Yup. Just like you said Sarah!!!', '@HillaryClinton 🙏🏻🙏🏻🙏🏻', '@KellyannePolls Ha ha ha ha ha ha ha ha ha ha ha']"
LAldanys,['quiet place is trash 🚮']
MakeANoteOfThat,"['@PressSecMooch You too, Brutus?', '@darth In the overall scheme of things, what does this mean?', '@Gregoriancant There are 2 good singers in the whole bunch. \nBut honestly... how many more singers do we need in th… https://t.co/4EUVvjkJrz', ""@Gregoriancant I find Katy to be quite entertaining. And lionel is ok..But then Luke starts talking.. He's about as… https://t.co/TGrbe3lJCH""]"
umhxva,['are you really hating on these girls because they have green coloured eyes? LOOOOOOL some girls are so bitter lmao https://t.co/M7ZJAg9zm1']
__theworldshero,"['😂😂😂😂 https://t.co/dBSNesshFm', '@Dooby310 😭😂']"
msrobinandreas,"['love a duck. this little girl comes to play every spring  . She knows how much I adore her visits. https://t.co/MYbwRPCTwf', 'Iceland Road Trip: What to Do on The Ring Road https://t.co/TDv2Ae5rZO', 'Directions from “Bozeman, MT” to “Bend, OR”. @LaceMckinney https://t.co/dJFlMYKsID)', 'Sage @LaceMckinney https://t.co/bOQAaRfJPD', 'Just two traveling Girls and the doggo.. https://t.co/MFAWdMiQki']"
jo_revelette,"[""@NBCNews We want to review his Tax Returns so there's that.""]"
LisaKDeam,"['I was also so happy to meet you, @tracesoffaith, @AmandaICleary, @tammygrrrl, @_karenjgonzalez, @CisnerosCafe,… https://t.co/gVeggFdmyd', '@RichellaParham @yoursbc @juliafspa @AmyR_Buckley @pathoftreasure @kuriakos27 @drdominee Aww, bless you, Richella.… https://t.co/KYwPEivv2C', 'So grateful for #FFWgr2018 and the opportunity to meet and talk with @yoursbc, @juliafspa, @RichellaParham,… https://t.co/W8i0YoAWT4', ""She is at work but is learning that you can't win them all...her heart is in Grand Rapids still."", 'The heroine lives! She made it home. Her inner calm flourishes.']"
GameIdeaSSSS,"['The Game is a Racing Game where you play as a  Lion tamer named Rick. Your goal is to collect the ugly Vampires.', 'The Game is a Adventure where you play as a  Wanted Criminal named Homer. Your goal is to paint the ugly Bobs.', 'The Game is a Stealth Game where you play as a  Exile named Bob. Your goal is to collect the ugly Buildings.', 'The Game is a Stealth Game where you play as a  Beet farmer named George. Your goal is to jump over the bright Buildings.', 'The Game is a Visual Novel where you play as a  Beet farmer named Dexter. Your goal is to destroy the bubbly Vampires.']"
Kagesawas,[]
MaxwellBauman,"[""It's pouring out and I just got a notification from the #library that I #book I requested arrived. Oh, the things I do for #love...""]"
ihatedeadends,"['@darrenrovell Maybe @amazon should be the logo?', '@NYPD75Pct Rick James?', ""@ColeyHarvey Why isn't baseball played through the rain like football?"", '@JeffKleinNY  https://t.co/ng5WgmrvVU', ""@winsjuliet He's staying at Trump Towers?""]"
aaronbearden93,"[""Here's the lead lap before they get back to green. #NASCAR https://t.co/GHB9pvpcwY"", ""On the bright side, there'll be plenty of salt for those snowy Tennessee roads if Rowdy snags the W."", ""And just like that, @KyleBusch retakes the top spot. \n\nHe knows a thing or two about spoiling a rookie's dreams a B… https://t.co/h3kNHPWhLQ"", ""Whoa. @BubbaWallace is leading at @BMSupdates?\n\nSomeone watch The King. We might see the world's coolest rain dance. #NASCAR""]"
zColorrs,"[""@Kiiittn When ever my friends trading Yu-Gi-Oh card...I feel like I'm being left out"", 'I think ima start editing', '@xKilala I think I play with u on mwr...', '@aw2ke @AltonZinPSD Honestly how long does it take to make those']"
JLRCalgary,"['One of the most handsome pre-owned Range Rover Sport in our inventory. Give us a shout at (403)255-1994 or text (58… https://t.co/iYeTwY1g3L', 'One of the most handsome pre-owned Range Rover Sport in our inventory. Give us a shout at (403)255-1994 or text (58… https://t.co/Q9KXwLDqvu', 'Congratulations again, sometimes you need two pets instead of one. #jaguar #family #fpace #yyc #jlrcalgary… https://t.co/LiK7OjXewd', 'https://t.co/ClTCoxEQdk', 'https://t.co/eUxbOWJL6p']"
GroupPalmera,"['NEW! Casa Estrellas is now available in Casa de Campo @vrbo https://t.co/G54i8lp36J #vacationrental #dominicanrepublic', 'Have you seen our Instagram account? https://t.co/h9PfsYhlSt #grouppalmera #palmeravillas #instagram', 'A Relaxing Stay at Caleton Estate 51 in Cap Cana\xa0Resort https://t.co/Pe0fLlTEq7 https://t.co/meDdYyjE8p']"
jusclickme,[]
